제품명,기본정보,원료약품 및 분량,효능효과,용법용량,주의사항
,"{'제품명': '골드메달 티트리 샴푸', '제품 영문명': 'Gold Medal Tea Tree Shampoo', '업체명': '한국동물약품공업협동조합', '업상태': '정상', '허가일': '2007-04-09', '품목정보': '동물용의약외품-수입-022-498', '취소/취하구분': '정상', '허가심사유형': '신고', '제조/수입구분': '수입', '성상': '불투명한 점성이 있는 액체', '제조방법': '제조사의 제조방법에 따른다.', '저장방법': '제조일로부터 24개월', '포장단위': '500ml(17oz), 3785ml(1 gallon)'}","[['1', '정제수 (Water(Aqua), ICID)'], ['2', '소듐코코-설페이트 (Sodium Coco-Sulfate, ICID)'], ['3', '코카미도프로필아민옥사이드 (Cocamidopropylamine Oxide, ICID)'], ['4', '포타슘코코에이트 (Potassium Cocoate, ICID)'], ['5', '테트라소듐이디티에이 (Tetrasodium EDTA, ICID)'], ['6', '글라이콜스테아레이트 (Glycol Stearate, ICID)'], ['7', '스테아라마이드에이엠피 (Stearamide AMP, ICID)'], ['8', '판테놀 (Panthenol, ICID)'], ['9', '하이드롤라이즈드귀리단백질 (Hydrolyzed Oat Protein, ICID)'], ['10', '마트리카리아꽃추출물 (Chamomilla recutita (matricaria) flower extract, ICID)'], ['11', '티트리잎오일 (Melaleuca Alternifolia (Tea Tree) Leaf Oil, ICID)'], ['12', '페녹시에탄올 (Phenoxyethanol, ICID)'], ['13', '에틸헥실글리세린 (Ethylhexylglycerin, ICID)'], ['14', '버지니아풍년화추출물 (Hamamelis Virginiana (Witch Hazel) Extract, ICID)'], ['15', '파파야열매추출물 (Carica Papaya (Papaya) Fruit Extract, ICID)'], ['16', '캐모마일꽃추출물 (Anthemis Nobilis Flower Extract, ICID)'], ['17', '구아바열매추출물 (Psidium Guajava Fruit Extract, ICID)'], ['18', '인카르나타시계꽃추출물 (Passiflora Incarnata Flower Extract, ICID)'], ['19', '파고다트리꽃추출물 (Plumeria Acutifolia Flower Extract, ICID)'], ['20', '망고추출물 (Mangifera Indica (Mango) Fruit Extract, ICID)'], ['21', '토란잎추출물 (Colocasia Esculenta Leaf Extract, ICID)'], ['22', '토코페릴아세테이트 (Tocopheryl Acetate, ICID)'], ['23', '레티닐팔미테이트 (Retinyl Palmitate, ICID)'], ['24', '하이드롤라이즈드밀단백질 (Hydrolyzed Wheat Protein, ICID)']]",없음,없음,없음
,"{'제품명': '데이비스 오트밀 리브 온 컨디셔너', '제품 영문명': 'Oatmeal Leave on Conditioner', '업체명': '한국동물약품공업협동조합', '업상태': '정상', '허가일': '2010-04-21', '품목정보': '동물용의약외품-수입-022-552', '취소/취하구분': '정상', '허가심사유형': '신고', '제조/수입구분': '수입', '성상': '크림색의 액제', '제조방법': '제조사의 제조 방법에 따른다.', '저장방법': '실온에 보관하십시오.\n제조일로부터 36개월', '포장단위': '12oz(355ml), 1Gallon(3.785L)'}","[['1', 'Colloidal Oatmeal (ICID)'], ['2', 'Germaben Ⅱ (ICID)'], ['3', 'Cetyl Alcohol (ICID)'], ['4', 'Cetearyl Alcohol and Cetrimonium Bromide (ICID)'], ['5', 'Cationic Polymer (Polyquaternium-47, ICID)'], ['6', 'Triethanolamine (pH adjuster, ICID)'], ['7', 'Aqueous Solution of Guar Hydroxpropyltrimonium Chloride (ICID)'], ['8', 'Water (ICID)'], ['9', 'Proprietary Apple Fragrance (Phethalate Free) (ICID)']]",없음,없음,없음
,"{'제품명': '데이비스 베스트 럭셔리 샴푸', '제품 영문명': 'Davis Best Luxury Shampoo', '업체명': '한국동물약품공업협동조합', '업상태': '정상', '허가일': '2010-04-22', '품목정보': '동물용의약외품-수입-022-553', '취소/취하구분': '정상', '허가심사유형': '신고', '제조/수입구분': '수입', '성상': '녹색의 액제', '제조방법': '제조사의 제조 방법에 따른다.', '저장방법': '다른 용기에 옮겨 담지 말고 원래의 용기에 뚜껑을 닫\n아 실온에 보관하십시오.\n제조일로부터 36개월', '포장단위': '12 oz(355ml), 1 Gallon (3.785L)'}","[['1', 'Sodium Lauryl Sulfate (ICID)'], ['2', 'PEG Distearate (ICID)'], ['3', 'Sodium Laureth Sulfate w/Ethanol (ICID)'], ['4', 'Coco Diethanolamide (ICID)'], ['5', 'Lanolin (ICID)'], ['6', 'Aloe Vera Whole Leaf (ICID)'], ['7', 'Polyquaternium-10 (ICID)'], ['8', 'Propylene Glycol (ICID)'], ['9', 'Mirataine (ICID)'], ['10', 'Citric Acid (Liquid pH Adjuster, ICID)'], ['11', 'Kathon CG Preservative (ICID)'], ['12', 'Trade Secret Fragrance (ICID)'], ['13', 'FD＆C Blue #1 (Cosmetic grade dye, ICID)'], ['14', 'FD＆C Yellow #5 (Cosmetic grade dye, ICID)'], ['15', 'Water (ICID)']]",없음,없음,없음
,"{'제품명': '화이젼 얼룩 및 탈취 솔루션', '제품 영문명': 'Fizzion pet stain, odor remover concentrated cleaner tablets', '업체명': '한국동물약품공업협동조합', '업상태': '정상', '허가일': '2011-10-27', '품목정보': '동물용의약외품-수입-022-610', '취소/취하구분': '정상', '허가심사유형': '신고', '제조/수입구분': '수입', '성상': '딱딱하고 두꺼운 원반형 테블릿 \n흰색 고형체에 푸른 점이 도포된 형태', '제조방법': '제조사의 제조 방법에 따름', '저장방법': '1)용해시키지 않은 테블릿은 원래의 포장상태로 시원\n하고 건조한 곳에 보관하여 주시고, 테블릿을 온수에 \n용해시킨 경우 상온에 보관하시면 됩니다.\n2)용해시키지 않은 경우에는 제조일로부터 36개월, \n용해시킨 후 용해된 날로부터 12-18개월 이내에 사용\n하시기 바랍니다.', '포장단위': '2pack refill 0.9oz(25.51g)\n2pack with bottle 4.3oz(121.90g)\n8pack refill 3.5oz(99.22g)'}","[['1', 'Citric acid(ICID)'], ['2', 'Sodium bicarbonate(ICID)'], ['3', 'Sodium carbonate(ICID)'], ['4', 'Sodium peroxometaborate(ICID)'], ['5', 'Sodium lauryl sulfate(ICID)'], ['6', 'Sodium (C10-16) alkylbenzenesulonate(ICID)'], ['7', 'Octoxynol-9(ICID)'], ['8', '2-Butoxyethanol(ICID)'], ['9', 'Chloramine-T(ICID)'], ['10', 'Fragrance(ICID)']]",없음,없음,없음
,"{'제품명': '그루머스 구프 샴푸', '제품 영문명': 'Groomers Goop Shampoo', '업체명': '한국동물약품공업협동조합', '업상태': '정상', '허가일': '2006-04-24', '품목정보': '동물용의약외품-수입-022-436', '취소/취하구분': '정상', '허가심사유형': '신고', '제조/수입구분': '수입', '성상': '흰색 액체', '제조방법': '[생 략]', '저장방법': '1) 저장방법 : 습기를 피하여 실온 보관\n2) 유효기간 : 제조일로부터 18개월', '포장단위': '16oz(473ml), 1gal(3.8L)'}","[['1', 'Water (Aqua)'], ['2', 'Versene(39%)'], ['3', 'Lanodant DM'], ['4', 'Citric acid'], ['5', 'Vanwet ES-60'], ['6', 'Collagen'], ['7', 'ChemBetaine C'], ['8', 'Bio-Terge AS-40'], ['9', 'Vanamide COCO'], ['10', 'EGMS'], ['11', 'Acusol OP301'], ['12', 'Fragrance'], ['13', 'Salt'], ['14', 'Vitamin E'], ['15', 'Aloe']]",없음,없음,없음
,"{'제품명': '그루머스 구프 리퀴드', '제품 영문명': 'Liquid Groomers Goop', '업체명': '한국동물약품공업협동조합', '업상태': '정상', '허가일': '2006-04-24', '품목정보': '동물용의약외품-수입-022-437', '취소/취하구분': '정상', '허가심사유형': '신고', '제조/수입구분': '수입', '성상': '흰색 액체', '제조방법': '[생 략]', '저장방법': '1) 저장방법 : 습기를 피하여 실온 보관\n2) 유효기간 : 제조일로부터 18개월', '포장단위': '16oz(473ml), 1gal(3.8L)'}","[['1', 'Water (Aqua)'], ['2', 'Carbomer'], ['3', 'Nonoxynol N-95'], ['4', 'Nonoxynol N-60'], ['5', 'Glycerine'], ['6', 'Isopropyl myristate'], ['7', 'Nonoxynol N-40'], ['8', 'Mineral water'], ['9', 'TEA(99%)'], ['10', 'Fragrance'], ['11', 'Lanodant DM'], ['12', 'Lanoline'], ['13', 'Vitamin E'], ['14', 'Aloe vera']]",없음,없음,없음
,"{'제품명': '골드메달 그루머 이어 파우더', '제품 영문명': 'Gold Medal Ear Powder', '업체명': '한국동물약품공업협동조합', '업상태': '정상', '허가일': '2007-04-09', '품목정보': '동물용의약외품-수입-022-499', '취소/취하구분': '정상', '허가심사유형': '신고', '제조/수입구분': '수입', '성상': '흰색의 가루', '제조방법': '제조사의 제조방법에 따른다.', '저장방법': '제조일로부터 36개월', '포장단위': '30g'}","[['1', 'Silica'], ['2', 'Boric acid'], ['3', 'Iodoform']]",없음,없음,없음
,"{'제품명': '골드메달 클린 이어', '제품 영문명': 'Gold Medal Clean Ears', '업체명': '한국동물약품공업협동조합', '업상태': '정상', '허가일': '2007-04-09', '품목정보': '동물용의약외품-수입-022-500', '취소/취하구분': '정상', '허가심사유형': '신고', '제조/수입구분': '수입', '성상': '옅은 녹색의 투명한 액체', '제조방법': '제조사의 제조방법에 따른다.', '저장방법': '제조일로부터 24개월', '포장단위': '118ml (4oz), 237ml (8oz), 3,785ml (1 gallon)'}","[['1', '소듐디옥틸설폭석시네이트 (Sodium dioctyl sulfosuccinate,ICID)'], ['2', '피이지-400 (PEG 400,ICID)'], ['3', '버지니아풍년화껍질/잎/잔가지추출물 (Hammelis Virginiana (Which Hazel) Bark / Leaf/ Twig Extract, ICID)'], ['4', '향료 (Fragrance,ICID)'], ['5', '청색 1호 (F.D. & C Blue #1, ICID)'], ['6', '정제수 (Water, ICID)'], ['7', '아이소프로필알코올(Isopropyl alchol, ICID)'], ['8', '락틱애씨드 (Lactic acid, ICID)'], ['9', '알로에베라잎추출물 (Aloe Barbadensis leaf extract, ICID)'], ['10', '페녹시에탄올 (Phenoxyethanol (ICID)'], ['11', '에틸헥실글리세린 (Ethylhexylglycerin, ICID)'], ['12', '테트라소듐이디티에이 (Tetrasodium EDTA, ICID)']]",없음,없음,없음
,"{'제품명': '럭셔리샴푸앤컨디셔너-코코넛', '제품 영문명': 'Aroma Paws Luxury Dog Shampoo and Conditioner in One - Coconut', '업체명': '한국동물약품공업협동조합', '업상태': '정상', '허가일': '2010-07-09', '품목정보': '동물용의약외품-수입-022-556', '취소/취하구분': '정상', '허가심사유형': '신고', '제조/수입구분': '수입', '성상': '불투명한 점성액제', '제조방법': '제조사의 제조 방법에 따름', '저장방법': '1)섭씨 25도 이하의 시원하고 통풍이 잘 되는 \n  건조한 곳에 보관\n2)제조일로부터 36개월', '포장단위': '12oz(355ml), 128oz (3787ml)'}","[['1', 'Purified water (ICID)'], ['2', 'Glycerin (ICID)'], ['3', 'Cellulose gum (ICID)'], ['4', 'Cocoglucoside (ICID)'], ['5', 'Decyl glucoside (ICID)'], ['6', 'Palm stearic acid (ICID)'], ['7', 'Citric acid (ICID)'], ['8', 'Colloidal oatmeal (ICID)'], ['9', 'Panthenol (ICID)'], ['10', 'Coconut oil (ICID)'], ['11', 'Organic honey (ICID)'], ['12', 'Essential oils (Fragrance : coconut, vanilla bean, ICID)']]",없음,없음,없음
,"{'제품명': '럭셔리샴푸앤컨디셔너-제라니윰', '제품 영문명': 'Luxury Dog Shampoo and Conditioner in One - Geranium', '업체명': '한국동물약품공업협동조합', '업상태': '정상', '허가일': '2010-07-09', '품목정보': '동물용의약외품-수입-022-557', '취소/취하구분': '정상', '허가심사유형': '신고', '제조/수입구분': '수입', '성상': '불투명한 점성액제', '제조방법': '제조사의 제조 방법에 따름', '저장방법': '1)섭씨 25도 이하의 시원하고 통풍이 잘 되는 \n  건조한 곳에 보관\n2)제조일로부터 36개월', '포장단위': '12oz(355ml), 128oz (3787ml)'}","[['1', 'Purified water (ICID)'], ['2', 'Glycerin (ICID)'], ['3', 'Cellulose gum (ICID)'], ['4', 'Cocoglucoside (ICID)'], ['5', 'Decyl glucoside (ICID)'], ['6', 'Palm stearic acid (ICID)'], ['7', 'Citric acid (ICID)'], ['8', 'Colloidal oatmeal (ICID)'], ['9', 'Panthenol (ICID)'], ['10', 'Coconut oil (ICID)'], ['11', 'Organic honey (ICID)'], ['12', 'Essential oils (Fragrance : geranium, rose, clary sage, ICID)']]",없음,없음,없음
