제품명,기본정보,원료약품 및 분량,효능효과,용법용량,주의사항
,"{'제품명': '포스앤네이처 펫 케어 샴푸 포레스트', '제품 영문명': 'Paws & Nature Pet Care Shampoo Forest', '업체명': '(주)피엘코스메틱', '업상태': '정상', '허가일': '2022-03-21', '품목정보': '동물용의약외품-제조-119-139', '취소/취하구분': '정상', '허가심사유형': '신고', '제조/수입구분': '제조', '성상': '미황색 투명의 액제', '제조방법': '동물용의약품공정서의 액제 제법에 따라 제조한다.', '저장방법': '저장방법:실온(1～25℃)에 직사광선을 피하여 보관\n용기종류:밀폐 용기\n사용기간:제조일로부터 36개월', '포장단위': '10ml, 15ml, 50ml, 300ml, 500ml'}","[['1', '정제수(KQC)'], ['2', '디나트륨이디티에이(KQC)'], ['3', 'DL-판테놀(KQC)'], ['4', '폴리쿼터늄-10(KQC)'], ['5', '글리세린(KQC)'], ['6', '시트르산(KQC)'], ['7', '라우릴베타인(KQC)'], ['8', '알킬(8-16)글루코사이드(일외원규)'], ['9', '디나트륨라우레스설포숙시네이트(KQC)'], ['10', '1,2-옥탄디올(일외원규)'], ['11', '1,2-헥산다이올(ICID)'], ['12', '에틸헥실글리세린(일외원규)'], ['13', '글라이신,세린,글루타믹애씨드,아스파틱애씨드,류신,알라닌,라이신,알지닌,타이로신,페닐알라닌,트레오닌,프롤린,발린,아이소류신,히스티딘 외 2종(ICID)'], ['14', '하이드롤라이즈드우유단백질(ICID)'], ['15', '해바라기씨오일(일외원규)'], ['16', '올리브유(KQC)'], ['17', '호호바유(KQC)'], ['18', '조합향료(포레스트)(별규)']]",없음,없음,없음
,"{'제품명': '소이 펫 버블', '제품 영문명': 'Soy Pet Bubble', '업체명': '(주)피엘코스메틱', '업상태': '정상', '허가일': '2020-03-05', '품목정보': '동물용의약외품-제조-119-077', '취소/취하구분': '정상', '허가심사유형': '신고', '제조/수입구분': '제조', '성상': '황색 점액상', '제조방법': '1) 제조탱크에 정제수에 2의 원료를 투입 후 75℃ 가온 용해한다.\n2) 별도 유상 가마에 3~9를 투입, 75℃ 가온 교반 용해 한 후 유화한다.  \n3) 50℃로 냉각시킨 다음 10~14을 제조탱크에 넣어 교반, 용해한다.', '저장방법': '저장방법 : 실온(1~25℃)에 직사광선을 피하여 보관\n용기종류 : 밀폐 또는 기밀 용기\n사용기간 : 제조일로부터 36개월', '포장단위': '1,000ml, 500ml, 400ml, 200ml, 50ml'}","[['1', 'Water(KQC)'], ['2', 'Glycerine 글리세린(KQC)'], ['3', 'Soy acid(별규)'], ['4', 'Lauric acid(KQC)'], ['5', 'Myristic acid(KQC)'], ['6', 'Capric acid(일외원규)'], ['7', 'Lecithin(별규)'], ['8', 'Olive oil(KQC)'], ['9', '코코넛유 Coconut oil(KQC)'], ['10', '소듐하이드록사이드 Sodium hydroxide(KQC)'], ['11', 'Potassium hydroxide(KQC)'], ['12', '조합향료(별규)'], ['13', '쌀겨추출물(일외원규)'], ['14', '시트르산 Citric acid(KQC)']]",없음,없음,없음
,"{'제품명': '댄싱 펫 트룰리 내츄럴 샴푸', '제품 영문명': 'Dancing Pet Truly Natural Shampoo', '업체명': '(주)피엘코스메틱', '업상태': '정상', '허가일': '2020-06-23', '품목정보': '동물용의약외품-제조-119-078', '취소/취하구분': '정상', '허가심사유형': '신고', '제조/수입구분': '제조', '성상': '미황색의 투명 액제', '제조방법': '1) 동물용의약품공정서 액제 제법에 따라 제조한다.\n 2) 제조탱크에 창포뿌리줄기수에 2, 3, 4, 5, 6의 원료를 투입 후 75℃ 가온 용해한다.\n 3) 용해 확인 후 7, 8, 9를 투입, 교반 용해한다.\n 4) 50℃로 냉각시킨 다음 10~15을 제조탱크에 넣어 교반, 용해한다.', '저장방법': '저장방법 : 실온(1~25℃)에 직사광선을 피하여 보관\n용기종류 : 밀폐 또는 기밀 용기\n사용기간 : 제조일로부터 36개월', '포장단위': '10ml, 30ml, 100ml, 300ml, 500ml'}","[['1', '창포뿌리줄기수 Acorus Calamus Rhizome Water(별규)'], ['2', '디나트륨이디티에이 Disodium EDTA(KQC)'], ['3', '폴리쿼터늄-10 Polyquaternium-10(KQC)'], ['4', 'DL-판테놀 Panthenol(KQC)'], ['5', '글리세린 Glycerin(KQC)'], ['6', '시트르산 Citric acid(KQC)'], ['7', '라우릴베타인 Laurylbetain(KQC)'], ['8', '알킬(8-16)글루코사이드 Alkyl (8-16) Glucoside(일외원규)'], ['9', '디나트륨라우레스설포숙시네이트 Disodium Laurethsulfosuccinate(KQC)'], ['10', '1,2-헥산디올 1,2-Hexanediol(별규)'], ['11', '1,2-옥탄디올 1,2-Octanediol(일외원규)'], ['12', '에틸헥실글리세린 Ethylhexylglycerin(별규)'], ['13', '베르가모트오일 Citrus Aurantium Bergamia (Bergamot) Fruit Oil(별규)'], ['14', '유기농 콤플렉스 헤어케어 Organic Complex Haircare(별규)'], ['15', '병풀추출물 Centella Extract(일외원규)']]",없음,없음,없음
,"{'제품명': '흐음 스니프 미스트', '제품 영문명': 'hmmm sni-fff mist', '업체명': '(주)피엘코스메틱', '업상태': '정상', '허가일': '2020-07-13', '품목정보': '동물용의약외품-제조-119-079', '취소/취하구분': '정상', '허가심사유형': '신고', '제조/수입구분': '제조', '성상': '무색 투명의 액제', '제조방법': '1) 동물용의약품공정서 액제 제법에 따라 제조한다.\n2) 제조탱크에 정제수에 2, ~21의 원료를 차례대로 교반, 용해한다.', '저장방법': '가.저장방법:실온(1～25℃)에 직사광선을 피하여 보관\n나.용기종류:밀폐 또는 기밀 용기\n다.유효기간:제조일로부터 36개월', '포장단위': '100ml, 125ml, 140ml, 150ml, 175ml, 200ml'}","[['1', '정제수 Water(KQC)'], ['2', '편백잎추출물(Chamaecyparis Obtusa Leaf Extract)(별규)'], ['3', '디나트륨이디티에이 Disodium EDTA(KQC)'], ['4', '알란토인 Allantoin(KQC)'], ['5', '시클로덱스트린 Cyclodextrin(KP)'], ['6', 'D-판테놀 D-Panthenol(KQC)'], ['7', 'Arginine 아르기닌(KQC)'], ['8', '디프로필렌글리콜 Dipropylene Glycol(KQC)'], ['9', 'Glycerine 글리세린(KQC)'], ['10', '히알루론산엑스 Hyaluronic Acid Extract(KQC)'], ['11', '조합향료(별규)'], ['12', '피피지-2-데세스-12 PPG-2-Deceth-12(별규)'], ['13', '에틸헥실글리세린(2-ETHYLHEXYL GLYCERYLETHER)(일외원규)'], ['14', '1,2-Hexanediol 1,2-헥산다이올(별규)'], ['15', '라벤더추출물 Lavender extract(일외원규)'], ['16', '인삼엑스 Ginseng Extract(KQC)'], ['17', '창포엑스 Calamus Root Extract(KQC)'], ['18', '오트추출물 Oat Extract(일외원규)'], ['19', '노니열매추출물 Morinda Citrifolia Fruit Extract(별규)'], ['20', '감초엑스 Glycyrrhiza Extract(KQC)'], ['21', '상백피엑스 Mulberry Root Extract(KQC)']]",없음,없음,없음
,"{'제품명': '글리터 미모 겸용 샴푸(키티용)', '업체명': '(주)피엘코스메틱', '업상태': '정상', '허가일': '2020-07-13', '품목정보': '동물용의약외품-제조-119-080', '취소/취하구분': '정상', '허가심사유형': '신고', '제조/수입구분': '제조', '성상': '하늘색의 점성이 있는 펄 액제', '제조방법': '1) 동물용의약품공정서 액제 제법에 따라 제조한다.\n2) 제조탱크에 정제수에 2, 3, 4, 5의 원료를 투입 후 75℃ 가온 용해한다.\n3) 용해 확인 후 6, 7, 8, 9, 10를 투입, 교반 용해한다.\n4) 50℃로 냉각시킨 다음 11~15을 제조탱크에 넣어 교반, 용해한다.', '저장방법': '가.저장방법:실온(1～25℃)에 직사광선을 피하여 보관\n나.용기종류:밀폐 또는 기밀 용기\n다.유효기간:제조일로부터 36개월', '포장단위': '200ml, 350ml, 400ml, 500ml, 550ml, 4000ml'}","[['1', '정제수(KQC)'], ['2', '디나트륨이디티에이 Disodium EDTA(KQC)'], ['3', 'Sodium chloride (염화나트륨)(KQC)'], ['4', '시트르산 Citric acid(KQC)'], ['5', 'Methyl Parahydroxybenzoate(KQC)'], ['6', 'Glycol distearate 글라이콜디스테아레이트(KQC)'], ['7', 'Disodium laureth sulfosuccinate 다이소듐라우레스설포석시네이트(KQC)'], ['8', 'Cocamidopropyl betaine 코카미도프로필베타인(KQC)'], ['9', '코카마이드디이에이 Cocamide DEA(KQC)'], ['10', 'Sodium lauryl sulfate(KQC)'], ['11', 'Polyquaternium-7(KQC)'], ['12', 'PEG-12 Dimethicone(별규)'], ['13', 'Dimethiconol (and) TEADodecylbenzenesulfonate (and) Laureth-23(별규)'], ['14', '조합향료(비피에프 제이앤제이 파우더45766)(별규)'], ['15', 'CI 42090(화장품 색소 기준 및 시험방법)']]",없음,없음,없음
,"{'제품명': '포스앤네이처 펫 케어 샴푸 프레쉬그린', '제품 영문명': 'Paws & Nature Pet Care Shampoo Fresh Green', '업체명': '(주)피엘코스메틱', '업상태': '정상', '허가일': '2022-03-22', '품목정보': '동물용의약외품-제조-119-140', '취소/취하구분': '정상', '허가심사유형': '신고', '제조/수입구분': '제조', '성상': '미황색 투명의 액제', '제조방법': '동물용의약품공정서의 액제 제법에 따라 제조한다.', '저장방법': '저장방법:실온(1～25℃)에 직사광선을 피하여 보관\n용기종류:밀폐 용기\n사용기간:제조일로부터 36개월', '포장단위': '10ml, 15ml, 50ml, 300ml, 500ml'}","[['1', '정제수(KQC)'], ['2', '디나트륨이디티에이(KQC)'], ['3', 'DL-판테놀(KQC)'], ['4', '폴리쿼터늄-10(KQC)'], ['5', '글리세린(KQC)'], ['6', '시트르산(KQC)'], ['7', '라우릴베타인(KQC)'], ['8', '알킬(8-16)글루코사이드(일외원규)'], ['9', '디나트륨라우레스설포숙시네이트(KQC)'], ['10', '1,2-옥탄디올(일외원규)'], ['11', '1,2-헥산다이올(ICID)'], ['12', '에틸헥실글리세린(일외원규)'], ['13', '글라이신,세린,글루타믹애씨드,아스파틱애씨드,류신,알라닌,라이신,알지닌,타이로신,페닐알라닌,트레오닌,프롤린,발린,아이소류신,히스티딘 외 2종(ICID)'], ['14', '하이드롤라이즈드우유단백질(ICID)'], ['15', '하이드롤라이즈드케라틴액(일외원규)'], ['16', '세이지엑스(KQC)'], ['17', '아르간커넬오일(ICID)'], ['18', '아몬드유(KQC)'], ['19', '조합향료(프레쉬그린)(별규)']]",없음,없음,없음
,"{'제품명': '쇼띠에 올인원 클렌저 실키', '제품 영문명': 'Chiottie All-in-one Cleanser Silky', '업체명': '(주)피엘코스메틱', '업상태': '정상', '허가일': '2022-05-26', '품목정보': '동물용의약외품-제조-119-141', '취소/취하구분': '정상', '허가심사유형': '신고', '제조/수입구분': '제조', '성상': '가. 제형 : 액제\n나. 성상 : 미황색 투명의 액제', '제조방법': '동물용의약품공정서의 액제 제법에 따라 제조한다.', '저장방법': '가. 저장방법 : 실온(1~30℃)에 직사광선을 피하여 보관\n나. 용기종류 : 기밀 용기\n다. 사용기간 : 제조일로부터 36개월', '포장단위': '30ml, 40ml, 330ml, 500ml, 1000ml'}","[['1', '바오밥나무씨추출물(ICID)'], ['2', '폴리쿼터늄-10(KQC)'], ['3', '디나트륨이디티에이(KQC)'], ['4', '글리세린(KQC)'], ['5', '시트르산(KQC)'], ['6', 'DL-판테놀(KQC)'], ['7', '라우릴베타인(KQC)'], ['8', '알킬(8-16)글루코사이드(일외원규)'], ['9', '소듐코코일N-메칠β-알라니네이트용액(일외원규)'], ['10', '1,2-옥탄디올(일외원규)'], ['11', '1,2-헥산디올(ICID)'], ['12', '에틸헥실글리세린(일외원규)'], ['13', '로즈마리오일(일외원규)'], ['14', '연필향나무목부오일(ICID)'], ['15', '하이드롤라이즈드실크액(일외원규)'], ['16', '오트추출물(일외원규)'], ['17', '라벤더추출물(1)(일외원규)'], ['18', '세이지엑스(KQC)'], ['19', '마트리카리아엑스(KQC)'], ['20', '병풀추출물(일외원규)'], ['21', '히알루론산엑스(KQC)'], ['22', '하이드롤라이즈드케라틴액(일외원규)']]",없음,없음,없음
,"{'제품명': '쇼띠에 올인원 클렌저 볼륨', '제품 영문명': 'Chiottie All-in-one Cleanser Volume', '업체명': '(주)피엘코스메틱', '업상태': '정상', '허가일': '2022-05-26', '품목정보': '동물용의약외품-제조-119-142', '취소/취하구분': '정상', '허가심사유형': '신고', '제조/수입구분': '제조', '성상': '가. 제형 : 액제\n나. 성상 : 미황색 투명의 액제', '제조방법': '동물용의약품공정서의 액제 제법에 따라 제조한다.', '저장방법': '가. 저장방법 : 실온(1~30℃)에 직사광선을 피하여 보관\n나. 용기종류 : 기밀 용기\n다. 사용기간 : 제조일로부터 36개월', '포장단위': '30ml, 40ml, 330ml, 500ml, 1000ml'}","[['1', '바오밥나무씨추출물(ICID)'], ['2', '폴리쿼터늄-10(KQC)'], ['3', '디나트륨이디티에이(KQC)'], ['4', '글리세린(KQC)'], ['5', '시트르산(KQC)'], ['6', 'DL-판테놀(KQC)'], ['7', '라우릴베타인(KQC)'], ['8', '알킬(8-16)글루코사이드(일외원규)'], ['9', '소듐코코일N-메칠β-알라니네이트용액(일외원규)'], ['10', '1,2-옥탄디올(일외원규)'], ['11', '1,2-헥산디올(ICID)'], ['12', '에틸헥실글리세린(일외원규)'], ['13', '로즈마리오일(일외원규)'], ['14', '연필향나무목부오일(ICID)'], ['15', '하이드롤라이즈드콜라겐액(2)(일외원규)'], ['16', '오트추출물(일외원규)'], ['17', '라벤더추출물(1)(일외원규)'], ['18', '세이지엑스(KQC)'], ['19', '마트리카리아엑스(KQC)'], ['20', '병풀추출물(일외원규)'], ['21', '히알루론산엑스(KQC)'], ['22', '하이드롤라이즈드케라틴액(일외원규)']]",없음,없음,없음
,"{'제품명': '쇼띠에 반려견용 머드팩 볼륨', '제품 영문명': 'Chiottie MUD PACK for Dog Volume', '업체명': '(주)피엘코스메틱', '업상태': '정상', '허가일': '2022-05-26', '품목정보': '동물용의약외품-제조-119-143', '취소/취하구분': '정상', '허가심사유형': '신고', '제조/수입구분': '제조', '성상': '가. 제형 : 크림\n나. 성상 : 회색의 크림상', '제조방법': '동물용의약품공정서의 액제 제법에 따라 제조한다.', '저장방법': '가. 저장방법 : 실온(1~30℃)에 직사광선을 피하여 보관\n나. 용기종류 : 기밀 용기\n다. 사용기간 : 제조일로부터 36개월', '포장단위': '80g, 120g, 500g, 1000g, 2000g'}","[['1', '정제수(KQC)'], ['2', '디나트륨이디티에이(KQC)'], ['3', '카보머(KQC)'], ['4', '글리세린(KQC)'], ['5', '잔탄검(일외원규)'], ['6', '하이드록시아세토페논(ICID)'], ['7', '세테아릴알코올(KQC)'], ['8', '친유형글리세릴스테아레이트(KQC)'], ['9', '하이드로제네이티드폴리아이소부텐(ICID)'], ['10', '카프릴릭/카프릭트리글리세리드(KQC)'], ['11', '세틸2-에틸헥사노에이트(일외원규)'], ['12', '소르비탄세스퀴올레에이트(KQC)'], ['13', '소르비탄스테아레이트(KQC)'], ['14', '아르기닌(KQC)'], ['15', '카올린(KQC)'], ['16', '1,2-헥산다이올(ICID)'], ['17', '로즈마리오일(일외원규)'], ['18', '하이드롤라이즈드콜라겐액(2)(일외원규)'], ['19', '오트추출물(일외원규)'], ['20', '라벤더추출물(1)(일외원규)'], ['21', '세이지엑스(KQC)'], ['22', '마트리카리아엑스(KQC)'], ['23', '병풀추출물(일외원규)'], ['24', '히알루론산엑스(KQC)'], ['25', '하이드롤라이즈드케라틴액(일외원규)']]",없음,없음,없음
,"{'제품명': '흐음 퍼지 샴푸', '제품 영문명': 'hmmm fuzzy shampoo', '업체명': '(주)피엘코스메틱', '업상태': '정상', '허가일': '2020-07-15', '품목정보': '동물용의약외품-제조-119-081', '취소/취하구분': '정상', '허가심사유형': '신고', '제조/수입구분': '제조', '성상': '미황색의 투명 액제', '제조방법': '1) 동물용의약품공정서 액제 제법에 따라 제조한다.\n 2) 제조탱크에 정제수에 2, 3, 4, 5, 6의 원료를 투입 후 75℃ 가온 용해한다.\n 3) 용해 확인 후 7, 8, 9를 투입, 교반 용해한다.\n 4) 50℃로 냉각시킨 다음 10~20을 제조탱크에 넣어 교반, 용해한다.', '저장방법': '저장방법 : 실온(1~25℃)에 직사광선을 피하여 보관\n용기종류 : 밀폐 또는 기밀 용기\n사용기간 : 제조일로부터 36개월', '포장단위': '300ml, 400ml, 500ml, 600ml, 1L'}","[['1', '정제수(KQC)'], ['2', '디나트륨이디티에이 Disodium EDTA(KQC)'], ['3', 'Polyquaternium-10(KQC)'], ['4', 'Glycerine 글리세린(KQC)'], ['5', '시트르산 Citric acid(KQC)'], ['6', '트라이메틸글라이신 Trimethylglycine(일외원규)'], ['7', '라우릴베타인 Laurylbetain(KQC)'], ['8', '알킬(8-16)글루코사이드 Alkyl (8-16) Glucoside(일외원규)'], ['9', 'Sodium Cocoyl Alaninate 소듐코코일 알라니네이트(별규)'], ['10', '조합향료(별규)'], ['11', '1,2-옥탄디올 1,2-Octanediol(일외원규)'], ['12', '1,2-헥산디올 1,2-Hexanediol(별규)'], ['13', '에틸헥실글리세린(2-ETHYLHEXYL GLYCERYLETHER)(일외원규)'], ['14', '라벤더추출물 Lavender extract(일외원규)'], ['15', '인삼엑스 Ginseng Extract(KQC)'], ['16', '창포엑스 Calamus Root Extract(KQC)'], ['17', '오트추출물 Oat Extract(일외원규)'], ['18', '노니열매추출물 Morinda Citrifolia Fruit Extract(별규)'], ['19', '감초엑스 Glycyrrhiza Extract(KQC)'], ['20', '상백피엑스 Mulberry Root Extract(KQC)']]",없음,없음,없음
